City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Norman wells,65.282,-126.8329,-14.8,76,20,11.5,CA,1613017360
Tonder,54.9331,8.8667,19.99,87,7,7.76,DK,1613017360
Kismayo,-0.3582,42.5454,77.16,81,80,16.2,SO,1613017360
Yellowknife,62.456,-114.3525,-18.0,83,40,5.75,CA,1613017280
Chaah,2.249,103.048,88.93,54,10,4.25,MY,1613017361
Segovia,41.1667,-4.0,45.0,75,100,9.44,ES,1613017361
Riyadh,24.6877,46.7219,53.6,35,0,3.2,SA,1613017361
Petropavlovsk-kamchatskiy,53.0452,158.6483,33.8,64,40,13.42,RU,1613017361
Bogense,55.5669,10.0886,19.99,88,95,8.01,DK,1613017361
Broome,42.2506,-75.833,21.99,49,90,3.44,US,1613017067
Serenje,-13.2325,30.2352,60.96,96,100,0.2,ZM,1613017361
Constitucion,-35.3333,-72.4167,61.74,92,36,2.86,CL,1613017361
Ostrovnoy,68.0531,39.5131,2.16,92,8,11.59,RU,1613017361
Shelburne,44.0787,-80.2041,15.01,85,100,6.33,CA,1613017340
Dores do indaia,-19.4633,-45.6017,65.43,97,5,0.34,BR,1613017361
Tautira,-17.7333,-149.15,84.0,65,75,5.75,PF,1613017361
Klaksvik,62.2266,-6.589,24.8,80,20,1.14,FO,1613017362
Bluff,-46.6,168.3333,52.52,86,100,28.19,NZ,1613017362
Husavik,66.0449,-17.3389,17.6,93,75,8.75,IS,1613017362
Jamestown,42.097,-79.2353,18.0,86,90,5.75,US,1613017289
Kapaa,22.0752,-159.319,73.4,53,20,3.44,US,1613017175
Cochrane,51.1834,-114.4687,-18.99,76,40,2.3,CA,1613017362
Lagoa,39.05,-27.9833,57.47,67,38,35.66,PT,1613017362
Geraldton,-28.7667,114.6,78.8,38,0,23.02,AU,1613017163
Hermanus,-34.4187,19.2345,66.0,89,2,3.0,ZA,1613017290
Cape town,-33.9258,18.4232,68.0,88,0,8.05,ZA,1613017268
Bonavista,48.6499,-53.1147,21.0,86,100,10.36,CA,1613017362
Alta floresta,-9.8756,-56.0861,72.0,95,100,1.16,BR,1613017362
Qaanaaq,77.484,-69.3632,6.62,76,69,11.25,GL,1613017363
Barrow,71.2906,-156.7887,-41.8,84,1,10.36,US,1613017363
Georgetown,5.4112,100.3354,87.01,89,40,5.75,MY,1613017315
Saint-philippe,-21.3585,55.7679,82.99,74,20,12.66,RE,1613017363
Bougouni,11.417,-7.479,71.53,21,0,4.21,ML,1613017363
Rikitea,-23.1203,-134.9692,78.57,78,7,12.3,PF,1613017363
Aginskoye,51.1,114.53,17.76,95,100,10.94,RU,1613017363
Westport,41.1415,-73.3579,30.99,64,90,2.51,US,1613017289
Veseloyarsk,51.2836,81.1056,-12.26,87,100,1.77,RU,1613017363
Chuy,-33.6971,-53.4616,68.68,88,27,9.35,UY,1613017302
Zlatoust,55.1711,59.6508,-7.44,91,91,3.0,RU,1613017222
Guliston,40.4897,68.7842,54.9,57,4,13.8,UZ,1613017364
Carnarvon,-24.8667,113.6333,80.6,65,0,20.71,AU,1613017088
Hami,42.8,93.45,36.82,65,76,8.23,CN,1613017142
Mago,53.2514,140.1822,18.9,94,83,10.54,RU,1613017364
Kodiak,57.79,-152.4072,37.4,70,90,35.68,US,1613017272
Ushuaia,-54.8,-68.3,64.4,48,40,14.97,AR,1613017302
Brae,60.3964,-1.353,34.43,83,23,12.15,GB,1613017366
Busselton,-33.65,115.3333,66.99,63,88,1.99,AU,1613017366
Bac lieu,9.285,105.7244,81.28,68,96,16.13,VN,1613017366
Urucara,-2.5364,-57.76,73.9,95,99,2.66,BR,1613017366
New norfolk,-42.7826,147.0587,75.99,30,97,3.0,AU,1613017366
Nikolskoye,59.7035,30.7861,6.8,78,75,2.24,RU,1613017366
Te anau,-45.4167,167.7167,55.87,63,99,7.11,NZ,1613017366
Necochea,-38.5473,-58.7368,61.0,95,0,3.0,AR,1613017366
Bambous virieux,-20.3428,57.7575,82.0,68,23,8.99,MU,1613017283
Bengkulu,-3.8004,102.2655,84.61,64,49,5.77,ID,1613017303
Mataura,-46.1927,168.8643,49.89,88,100,11.88,NZ,1613017171
Tura,25.5198,90.2201,76.12,31,0,2.37,IN,1613017366
Dikson,73.5069,80.5464,-22.65,86,1,4.56,RU,1613017292
Lata,40.1629,-8.3327,57.0,96,100,4.0,PT,1613017366
Taltal,-25.4,-70.4833,64.04,76,4,0.29,CL,1613017367
Borgarnes,64.5383,-21.9206,33.8,93,90,11.5,IS,1613017367
Davila,18.4726,120.5763,80.6,83,75,3.44,PH,1613017367
Abu dhabi,24.4667,54.3667,64.4,94,16,1.14,AE,1613017367
Solnechnyy,50.7214,136.6319,12.72,90,11,2.86,RU,1613017367
Khatanga,71.9667,102.5,-22.29,83,1,4.32,RU,1613017367
Vao,-22.6667,167.4833,76.46,82,22,15.93,NC,1613017367
Ilulissat,69.2167,-51.1,14.0,62,90,16.11,GL,1613017310
Vallenar,-28.5708,-70.7581,60.21,78,15,1.95,CL,1613017368
Labuhan,-6.8844,112.2051,83.07,78,100,6.42,ID,1613017368
Port alfred,-33.5906,26.891,72.0,95,11,1.99,ZA,1613017368
Malindi,-3.2175,40.1191,76.78,83,90,6.26,KE,1613017368
Vaini,-21.2,-175.2,84.2,79,20,13.8,TO,1613017368
Hithadhoo,-0.6,73.0833,81.79,79,31,12.68,MV,1613017306
Sitka,57.0531,-135.33,23.0,50,1,6.91,US,1613017369
Pevek,69.7008,170.3133,-17.25,71,0,1.23,RU,1613017369
Solton,52.8429,86.4787,-10.95,89,100,6.58,RU,1613017271
Cidreira,-30.1811,-50.2056,73.0,83,51,13.35,BR,1613017283
Aksu,41.1231,80.2644,42.49,55,15,2.66,CN,1613017369
Longyearbyen,78.2186,15.6401,5.0,66,75,20.71,SJ,1613017101
Novoagansk,61.9449,76.6625,-17.07,87,100,11.07,RU,1613017369
Gallup,35.5281,-108.7426,39.99,45,90,6.29,US,1613017369
Newton,42.337,-71.2092,24.8,63,91,8.05,US,1613017302
Dingle,10.9995,122.6711,85.42,70,4,5.5,PH,1613017369
Birao,10.2849,22.7882,62.73,28,14,4.85,CF,1613017370
Katsuura,35.1333,140.3,55.4,30,20,18.41,JP,1613017174
Westlock,54.1502,-113.8688,-20.2,63,78,6.91,CA,1613017370
Port elizabeth,-33.918,25.5701,71.6,94,75,4.61,ZA,1613017370
Marathon,44.9,-89.7668,-2.2,71,1,3.44,US,1613017370
Oriximina,-1.7656,-55.8661,75.38,89,100,2.62,BR,1613017370
Butaritari,3.0707,172.7902,81.7,76,100,13.91,KI,1613017370
Punta arenas,-53.15,-70.9167,55.4,88,75,9.22,CL,1613017370
Korla,41.7597,86.1469,39.02,62,95,7.38,CN,1613017370
Vincennes,48.85,2.4333,21.2,86,8,6.91,FR,1613017371
Mama,58.3106,112.8986,5.36,85,34,2.91,RU,1613017371
Atuona,-9.8,-139.0333,78.53,79,1,17.9,PF,1613017371
Hobart,-42.8794,147.3294,75.99,40,0,11.5,AU,1613017371
Airai,-8.9266,125.4092,72.63,86,98,3.47,TL,1613017170
Swellendam,-34.0226,20.4417,55.4,94,0,3.44,ZA,1613017371
Castro,-24.7911,-50.0119,61.14,96,100,7.4,BR,1613017372
Albany,42.6001,-73.9662,23.0,46,100,1.01,US,1613017088
Port hedland,-20.3167,118.5667,89.6,66,14,17.27,AU,1613017372
Roma,43.2128,-75.4557,17.01,73,90,2.08,US,1613017372
Faya,18.3851,42.4509,50.0,81,0,1.3,SA,1613017372
Bataipora,-22.2953,-53.2711,68.68,91,97,1.63,BR,1613017372
Dargaville,-35.9333,173.8833,68.04,58,77,9.55,NZ,1613017372
Half moon bay,37.4636,-122.4286,53.01,71,1,6.91,US,1613017372
Lucapa,-8.4192,20.7447,64.71,95,100,2.93,AO,1613017372
Tingo maria,-9.2895,-76.0088,70.81,84,100,2.08,PE,1613017373
Luderitz,-26.6481,15.1594,66.22,79,88,7.18,NA,1613017373
Palana,59.1167,159.9667,15.4,96,86,10.25,RU,1613017373
Talnakh,69.4865,88.3972,-16.92,81,0,2.57,RU,1613017373
Cobourg,50.2667,10.9667,12.0,93,6,2.93,DE,1613017373
Dunedin,-45.8742,170.5036,60.01,61,71,21.0,NZ,1613017272
Aklavik,68.2191,-135.0107,-25.6,75,0,4.61,CA,1613017373
Mahebourg,-20.4081,57.7,82.0,68,24,8.99,MU,1613017373
Varhaug,58.6147,5.6457,19.99,67,0,3.44,NO,1613017373
Beringovskiy,63.05,179.3167,-23.28,85,78,14.5,RU,1613017373
Marzuq,14.4,46.4667,55.06,40,1,3.33,YE,1613017374
Rosetta,31.4044,30.4164,50.0,93,0,3.98,EG,1613017374
Bahia honda,22.9036,-83.1592,72.01,87,0,8.28,CU,1613017374
Puerto ayora,-0.7393,-90.3518,75.0,99,82,5.32,EC,1613017374
Sabang,5.8933,95.3214,83.01,71,10,7.96,ID,1613017374
Avarua,-21.2078,-159.775,84.2,70,100,6.91,CK,1613017374
Sibolga,1.7427,98.7792,86.92,59,77,3.94,ID,1613017374
Vila velha,-20.3297,-40.2925,75.2,94,40,2.3,BR,1613017374
Hilo,19.7297,-155.09,73.4,64,1,5.75,US,1613017374
Tessalit,20.1986,1.0114,64.54,21,1,10.18,ML,1613017375
Thompson,55.7435,-97.8558,-29.2,75,40,5.75,CA,1613017375
Guerrero negro,27.9769,-114.0611,56.73,76,56,14.85,MX,1613017375
Touros,-5.1989,-35.4608,80.6,78,20,9.22,BR,1613017375
Arraial do cabo,-22.9661,-42.0278,73.67,82,98,4.16,BR,1613017375
Mayo,38.8876,-76.5119,35.01,100,90,9.22,US,1613017375
Walvis bay,-22.9575,14.5053,68.0,88,99,4.61,NA,1613017375
Mar del plata,-38.0023,-57.5575,68.0,88,90,16.11,AR,1613017292
Itoman,26.1247,127.6694,64.4,88,75,21.85,JP,1613017375
Pitea,65.3172,21.4794,1.4,85,55,3.44,SE,1613017375
Victoria,22.2855,114.1577,66.99,76,1,1.99,HK,1613017092
Raudeberg,61.9875,5.1352,24.01,62,0,7.94,NO,1613017375
Upernavik,72.7868,-56.1549,-2.58,90,93,10.54,GL,1613017375
Taoudenni,22.6783,-3.9836,61.97,26,0,10.31,ML,1613017376
Pemba,-12.974,40.5178,77.38,87,100,11.14,MZ,1613017376
Lebu,-37.6167,-73.65,59.0,96,6,9.17,CL,1613017376
Saint-pierre,-21.3393,55.4781,82.99,74,20,12.66,RE,1613017376
Buraydah,26.326,43.975,48.2,100,0,2.3,SA,1613017376
Neiafu,-18.65,-173.9833,82.4,89,75,4.61,TO,1613017376
Vardo,70.3705,31.1107,21.2,58,75,17.27,NO,1613017304
Maracacume,-2.0428,-45.9592,74.12,96,100,2.93,BR,1613017377
Kenai,60.5544,-151.2583,19.99,79,90,16.11,US,1613017287
Burns lake,54.2331,-125.7533,-23.8,76,0,1.14,CA,1613017377
Chokurdakh,70.6333,147.9167,-12.62,89,27,5.5,RU,1613017377
Teguldet,57.3064,88.1667,-13.2,86,98,10.38,RU,1613017271
Divnomorskoye,44.5011,38.1353,49.06,90,96,7.36,RU,1613017377
Port hardy,50.6996,-127.4199,35.6,64,75,17.27,CA,1613017377
Agra,27.1833,78.0167,67.35,49,0,0.96,IN,1613017377
Ahipara,-35.1667,173.1667,68.41,64,69,11.16,NZ,1613017377
Laguna,38.421,-121.4238,57.0,71,1,8.05,US,1613017377
Cabo san lucas,22.8909,-109.9124,64.4,77,1,3.44,MX,1613017378
Cairns,-16.9167,145.7667,86.0,74,75,9.22,AU,1613017378
Iqaluit,63.7506,-68.5145,1.4,78,1,6.91,CA,1613017378
Kashi,39.4547,75.9797,44.6,24,20,4.47,CN,1613017378
Villarrica,-25.75,-56.4333,66.6,97,100,3.44,PY,1613017378
Gat,31.61,34.7642,53.01,87,0,1.14,IL,1613017378
Figueiro,41.2992,-8.1678,54.0,91,100,3.04,PT,1613017378
Bethel,41.3712,-73.414,25.0,80,90,1.77,US,1613017322
Paris,48.8534,2.3488,23.0,86,0,9.22,FR,1613017099
Matamoros,25.5333,-103.25,71.6,16,1,3.85,MX,1613017182
Acajutla,13.5928,-89.8275,77.14,73,1,5.48,SV,1613017361
Omboue,-1.5746,9.2618,78.75,88,99,1.7,GA,1613017379
Sao filipe,14.8961,-24.4956,70.48,73,22,8.41,CV,1613017379
Tuktoyaktuk,69.4541,-133.0374,-23.8,76,1,16.11,CA,1613017379
Pisco,-13.7,-76.2167,71.6,78,0,5.75,PE,1613017379
Ponta do sol,32.6667,-17.1,60.8,77,20,3.44,PT,1613017379
Cherskiy,68.75,161.3,-12.91,87,0,4.27,RU,1613017379
Praia da vitoria,38.7333,-27.0667,57.0,67,20,28.97,PT,1613017380
College,64.8569,-147.8028,3.0,71,75,2.46,US,1613017316
Nicoya,10.1483,-85.452,78.8,57,0,12.66,CR,1613017190
Cravo norte,6.3017,-70.2041,81.46,45,22,5.64,CO,1613017380
Saravena,6.9538,-71.8752,75.52,68,82,2.37,CO,1613017380
Port huron,42.9709,-82.4249,15.8,79,90,3.44,US,1613017380
Kruisfontein,-34.0033,24.7314,71.01,92,16,1.99,ZA,1613017099
Richards bay,-28.783,32.0377,74.48,82,98,2.04,ZA,1613017380
Thinadhoo,0.5333,72.9333,81.54,80,58,11.34,MV,1613017380
Chicama,-7.8447,-79.1469,74.12,72,100,3.71,PE,1613017381
Katobu,-4.9408,122.5276,90.59,53,80,5.19,ID,1613017381
Paramonga,-10.6667,-77.8333,73.17,69,75,3.87,PE,1613017381
Moroni,-11.7022,43.2551,81.27,74,100,14.81,KM,1613017381
Vestmannaeyjar,63.4427,-20.2734,40.95,69,100,27.94,IS,1613017381
Grand gaube,-20.0064,57.6608,82.0,68,50,8.99,MU,1613017381
Port augusta,-32.5,137.7667,104.0,11,99,24.16,AU,1613017381
Gilbues,-9.8317,-45.3439,72.59,88,95,0.51,BR,1613017382
Nanortalik,60.1432,-45.2371,22.93,86,54,9.95,GL,1613017382
Nemetker,46.7164,18.7631,28.11,92,100,24.52,HU,1613017382
Olafsvik,64.8945,-23.7142,36.37,83,100,19.24,IS,1613017382
Mezhdurechensk,53.6942,88.0603,-9.42,85,100,7.02,RU,1613017382
Breytovo,58.2993,37.8617,-0.35,93,100,6.96,RU,1613017382
Marang,5.2056,103.2059,81.19,71,57,3.96,MY,1613017382
Cao bang,22.6667,106.25,71.71,55,1,2.3,VN,1613017165
Mbini,1.574,9.6134,80.24,85,86,4.97,GQ,1613017382
Paso de patria,-27.2454,-58.5454,73.99,99,84,6.33,AR,1613017382
Olga,43.7444,135.2892,34.02,76,0,9.42,RU,1613017383
San policarpo,12.1791,125.5072,81.14,83,8,13.24,PH,1613017383
Qiongshan,20.0058,110.3542,66.2,72,75,6.71,CN,1613017383
Lompoc,34.6391,-120.4579,53.6,82,1,14.97,US,1613017383
Bahawalpur,29.4,71.6833,73.67,20,0,7.67,PK,1613017383
Tirana,41.3275,19.8189,53.6,87,90,8.05,AL,1613017383
Jiehu,35.5428,118.455,54.82,40,41,7.63,CN,1613017383
Bredasdorp,-34.5322,20.0403,57.2,94,0,1.14,ZA,1613017170
Portland,45.5234,-122.6762,42.01,66,95,2.37,US,1613017199
Kaitangata,-46.2817,169.8464,57.0,64,100,17.0,NZ,1613017098
Leningradskiy,69.3833,178.4167,-28.93,82,0,4.76,RU,1613017384
Nioro,13.35,-15.75,73.42,19,26,5.82,GM,1613017384
Micheweni,-4.9667,39.8333,81.28,75,100,8.14,TZ,1613017384
Cap malheureux,-19.9842,57.6142,82.0,68,43,8.99,MU,1613017384
Lima,-12.0432,-77.0282,77.0,69,0,5.75,PE,1613017320
Kupang,-10.1667,123.5833,86.0,79,75,10.36,ID,1613017384
Ozernovskiy,51.5,156.5167,24.37,96,100,13.02,RU,1613017384
San rafael del sur,11.8485,-86.4384,78.8,69,40,6.91,NI,1613017385
Mersing,2.4312,103.8405,83.5,67,48,11.16,MY,1613017385
Saskylakh,71.9167,114.0833,-21.66,84,0,5.95,RU,1613017385
Amahai,-3.3333,128.9167,87.75,62,100,5.53,ID,1613017385
Padre paraiso,-17.0742,-41.4844,64.18,96,47,1.43,BR,1613017385
Shar,49.5886,81.0453,-4.85,88,100,3.91,KZ,1613017385
Ossora,59.2353,163.0719,9.19,94,100,7.43,RU,1613017385
Freetown,8.484,-13.2299,77.05,82,82,5.1,SL,1613017385
Buncrana,55.1333,-7.45,30.69,91,69,14.81,IE,1613017386
Namwala,-15.7504,26.4384,65.75,97,100,2.44,ZM,1613017386
Morshansk,53.4435,41.8107,7.68,95,97,8.08,RU,1613017264
Taldan,53.6667,124.8,3.87,92,100,7.74,RU,1613017386
Souillac,-20.5167,57.5167,82.0,68,26,8.99,MU,1613017386
Russell,32.3502,-85.1999,57.2,94,75,2.42,US,1613017386
Tasiilaq,65.6145,-37.6368,12.2,48,87,6.91,GL,1613017386
Mamou,10.5,-12.0,66.27,32,0,2.28,GN,1613017386
Stornoway,58.2093,-6.3865,32.0,64,0,9.22,GB,1613017387
Port macquarie,-31.4333,152.9167,78.01,47,36,10.36,AU,1613017312
Araouane,18.9048,-3.5265,66.65,19,52,11.54,ML,1613017387
Jacareacanga,-6.2222,-57.7528,72.9,96,99,1.88,BR,1613017387
Manokwari,-0.8667,134.0833,82.74,75,100,2.84,ID,1613017387
Alekseyevsk,57.8406,108.3492,3.87,90,73,1.9,RU,1613017387
Tomatlan,19.9333,-105.25,61.83,91,0,1.3,MX,1613017322
San isidro,-12.1167,-77.05,77.0,69,0,5.75,PE,1613017388
Abha,18.2164,42.5053,50.0,81,0,1.32,SA,1613017388
Maningrida,-12.0667,134.2667,91.17,59,97,6.96,AU,1613017388
Kieta,-6.2167,155.6333,81.64,79,95,6.62,PG,1613017388
Fairmont,39.4851,-80.1426,27.0,93,100,4.52,US,1613017165
Maneromango,-7.1988,38.7848,73.4,88,75,8.05,TZ,1613017388
Manado,1.487,124.8455,86.11,69,22,5.57,ID,1613017388
Skibbereen,51.55,-9.2667,35.6,69,75,25.32,IE,1613017389
Chipinge,-20.1883,32.6236,64.26,100,91,3.04,ZW,1613017389
Pipar,26.3856,73.5378,72.5,20,11,7.67,IN,1613017389
Saldanha,-33.0117,17.9442,60.8,82,0,3.44,ZA,1613017389
Amursk,50.2261,136.8994,6.48,92,98,6.42,RU,1613017389
Robertson,36.5167,-86.8667,32.0,100,90,5.75,US,1613017389
Hamilton,39.1834,-84.5333,21.99,86,90,12.66,US,1613017389
Adeje,28.1227,-16.726,62.01,72,40,8.05,ES,1613017389
Salalah,17.0151,54.0924,75.2,41,0,13.8,OM,1613017389
Kenora,49.8167,-94.4337,-20.0,76,20,5.75,CA,1613017389
Mareeba,-17.0,145.4333,86.0,74,75,9.22,AU,1613017390
Hay river,60.8156,-115.7999,-20.2,76,38,5.75,CA,1613017390
Kathmandu,27.7167,85.3167,55.4,76,20,3.44,NP,1613017250
Samsun,41.25,36.3333,37.4,93,0,4.61,TR,1613017170
Saint george,37.1041,-113.5841,55.0,37,1,2.26,US,1613017254
Coquimbo,-29.9533,-71.3436,62.6,88,90,6.91,CL,1613017326
Wasilla,61.5814,-149.4394,18.0,92,1,1.79,US,1613017390
Boa esperanca,-21.09,-45.5658,63.91,92,2,3.98,BR,1613017391
Bam,29.106,58.357,59.27,29,0,1.74,IR,1613017391
Grindavik,63.8424,-22.4338,32.0,100,90,21.85,IS,1613017391
Bandarbeyla,9.4942,50.8122,73.89,74,100,14.83,SO,1613017391
Kisangani,0.5167,25.2,70.83,63,100,1.72,CD,1613017391
Barreirinhas,-2.7469,-42.8264,77.34,90,99,5.75,BR,1613017391
Vanderhoof,54.0166,-124.0198,-15.93,85,88,1.34,CA,1613017391
Banjar,-8.19,114.9675,86.0,74,20,10.36,ID,1613017392
Tabas,33.5959,56.9244,50.0,29,99,2.3,IR,1613017392
Ketchikan,55.3422,-131.6461,23.0,53,1,3.44,US,1613017392
Sal rei,16.1833,-22.9167,68.0,83,20,16.11,CV,1613017392
Along,28.1667,94.7667,72.55,32,40,0.27,IN,1613017392
Namatanai,-3.6667,152.4333,82.67,78,81,8.12,PG,1613017392
Bathsheba,13.2167,-59.5167,76.87,77,8,18.81,BB,1613017392
Asau,46.4333,26.4,36.0,73,100,3.11,RO,1613017392
Saint-georges,12.0564,-61.7485,77.68,76,0,15.26,GD,1613017392
Srednekolymsk,67.45,153.6833,-13.43,88,44,3.56,RU,1613017392
Karratha,-20.7377,116.8463,93.7,45,0,9.73,AU,1613017393
Kirakira,-10.4544,161.9205,84.81,71,100,7.92,SB,1613017297
